type,timestamp,x,y,yaw
actual,1745086399.1896896,394675.3380809198,4438780.40483886,-0.19183201787996246
actual,1745086399.289717,394675.3390490038,4438780.404293148,-0.19181363956293898
actual,1745086399.389715,394675.3403989797,4438780.403699741,-0.19174745667770354
actual,1745086399.489674,394675.3381739975,4438780.405893826,-0.1918880778555366
actual,1745086399.5897632,394675.3386544706,4438780.405739784,-0.19181829959204194
actual,1745086399.6896882,394675.33914329764,4438780.405622239,-0.1918015269779302
actual,1745086399.7896826,394675.339313464,4438780.405650501,-0.19187929884939917
actual,1745086399.889717,394675.3387602181,4438780.405660195,-0.1917617160176923
actual,1745086399.9896858,394675.34303938155,4438780.403652119,-0.19176890677421046
actual,1745086400.089652,394675.3403986878,4438780.404154006,-0.19182189497030092
actual,1745086400.1895988,394675.3359978938,4438780.404902818,-0.1918032548538898
actual,1745086400.2897604,394675.3296963384,4438780.406131584,-0.1918670466380501
actual,1745086400.3896844,394675.32081491855,4438780.40787755,-0.19183121502850659
actual,1745086400.4898026,394675.321590802,4438780.4059453085,-0.1918313546548469
actual,1745086400.5897033,394675.3088570775,4438780.408175877,-0.19184015111427682
actual,1745086400.6896944,394675.3012132856,4438780.409614052,-0.19192722559065872
